Target,F70,eF70,F100,eF100,F160,eF160,F250,eF250,F350,eF350,F500,eF500,ObsDate
2MASS J04153916+2818586,500,100,450,90,500,100,280,60,210,40,--,--,unknown
2MASS J04202606+2804089,320,60,--,--,190,40,47,9,--,--,--,--,unknown
2MASS J04210795+2702204,3200,600,--,--,3700,700,1600,300,1500,300,1500,30,unknown
2MASS J04295950+2433078,--,--,47,9,--,--,--,--,--,--,--,--,unknown
2MASS J04333905+2227207,320,60,--,--,500,100,430,90,350,70,260,5,unknown
2MASS J04334465+2615005,--,--,170,30,280,60,230,50,--,--,--,--,unknown
2MASS J04381486+2611399,--,--,49,10,--,--,--,--,--,--,--,--,unknown
2MASS J04390525+2337450,420,80,--,--,340,70,--,--,--,--,--,--,unknown
2MASS J04393364+2359212,80,20,--,--,60,10,--,--,--,--,--,--,unknown
2MASS J04400067+2358211,70,10,--,--,60,10,--,--,--,--,--,--,unknown
V* AA Tau,1300,300,1000,200,1200,200,1100,200,900,200,600,10,unknown
V* AB Aur,140000,30000,--,--,70000,10000,22000,4000,8000,2000,2500,50,unknown
V* BP Tau,600,100,--,--,500,100,480,100,400,80,300,6,unknown
[BCG93] 1,300,60,410,80,250,50,--,--,--,--,--,--,unknown
[BCG93] 7,310,60,400,80,410,80,230,50,130,30,90,2,unknown
[BCG93] 9,450,90,--,--,600,100,450,90,330,70,210,4,unknown
V* CI Tau,1900,400,--,--,2000,400,2000,400,1800,400,1300,30,unknown
NAME CoKu Tau 4,1000,200,1100,200,--,--,--,--,--,--,--,--,unknown
V* CW Tau,1900,400,2000,400,1800,400,1300,300,800,200,--,--,unknown
V* CX Tau,310,60,260,50,240,50,--,--,--,--,--,--,unknown
V* CY Tau,260,50,210,40,280,60,400,80,340,70,250,5,unknown
V* CZ Tau,380,80,100,20,--,--,--,--,--,--,--,--,unknown
V* DD Tau,1200,200,1100,200,700,100,370,70,230,50,130,3,unknown
V* DE Tau,1300,300,--,--,800,200,400,80,270,50,140,3,unknown
V* DF Tau,700,100,--,--,120,20,70,10,--,--,--,--,unknown
V* DG Tau,21000,4000,--,--,16000,3000,8000,2000,5000,1000,2900,60,unknown
V* DH Tau,480,100,--,--,500,100,330,70,240,50,140,3,unknown
V* DK Tau,1200,200,--,--,900,200,600,100,360,70,240,5,unknown
V* DL Tau,1300,300,--,--,1900,400,2000,400,1800,400,--,--,unknown
V* DM Tau,--,--,--,--,--,--,800,200,700,100,600,10,unknown
V* DN Tau,700,100,800,200,800,200,600,100,500,100,400,8,unknown
V* DO Tau,6000,1000,6000,1000,5000,1000,2500,500,1800,400,1300,30,unknown
V* DP Tau,600,100,340,70,150,30,--,--,--,--,--,--,unknown
V* DQ Tau,1400,300,1500,300,900,200,--,--,--,--,--,--,unknown
V* DS Tau,200,40,280,60,240,50,--,--,--,--,--,--,unknown
V* FM Tau,480,100,330,70,280,60,130,30,--,--,--,--,unknown
V* FN Tau,1500,300,1100,200,700,100,390,80,200,40,110,2,unknown
V* FO Tau,500,100,470,90,120,20,--,--,--,--,--,--,unknown
V* FP Tau,330,70,380,80,420,80,--,--,--,--,--,--,unknown
V* FQ Tau,--,--,190,40,150,30,--,--,--,--,--,--,unknown
V* FT Tau,800,200,1000,200,1200,200,1000,200,800,200,600,10,unknown
V* FV Tau,1700,300,--,--,1000,200,--,--,--,--,--,--,unknown
V* FX Tau,350,70,240,50,170,30,100,20,--,--,--,--,unknown
V* GM Aur,3100,600,--,--,4300,900,4300,900,3300,700,2000,40,unknown
V* GN Tau,100,20,170,30,--,--,--,--,--,--,--,--,unknown
V* GO Tau,370,70,380,80,600,100,600,100,600,100,500,10,unknown
Haro 6-13,8000,2000,8000,2000,7000,1000,4100,800,2700,500,2100,40,unknown
Haro 6-37,1100,200,1100,200,1300,300,--,--,--,--,--,--,unknown
V* HK Tau,2600,500,2600,500,2100,400,1400,300,900,200,490,10,unknown
V* HN Tau,--,--,--,--,--,--,280,60,190,40,100,2,unknown
V* HO Tau,--,--,--,--,--,--,140,30,120,20,90,2,unknown
V* HQ Tau,1400,300,--,--,600,100,200,40,70,10,--,--,unknown
IRAS 04108+2910,500,100,--,--,290,60,170,30,110,20,70,1,unknown
IRAS 04125+2902,1300,300,1300,300,1000,200,700,100,380,80,200,4,unknown
IRAS 04154+2823,1400,300,1600,300,1200,200,800,200,600,100,--,--,unknown
IRAS 04173+2812,250,50,90,20,--,--,--,--,--,--,--,--,unknown
IRAS F04192+2647,350,70,--,--,--,--,--,--,--,--,--,--,unknown
